ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
219362_at	NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	-0.887	3.996
219371_s_at	KLF2	Kruppel like factor 2	1.115	3.095
219374_s_at	ALG9	ALG9, alpha-1,2-mannosyltransferase	0.44	3.394
219392_x_at	PRR11	proline rich 11	-0.638	4.518
219398_at	CIDEC	cell death inducing DFFA like effector c	1.417	13.881
219433_at	BCOR	BCL6 corepressor	-1.345	5.307
219440_at	RAI2	retinoic acid induced 2	0.47	2.77
219454_at	EGFL6	EGF like domain multiple 6	0.826	6.043
219468_s_at	CUEDC1	CUE domain containing 1	0.333	2.515
219481_at	TTC13	tetratricopeptide repeat domain 13	-0.928	3.139
219482_at	SETD4	SET domain containing 4	-0.6	2.489
219494_at	RAD54B	RAD54 homolog B (S. cerevisiae)	-0.748	4.12
219495_s_at	ZNF180	zinc finger protein 180	-0.674	2.987
219499_at	SEC61A2	Sec61 translocon alpha 2 subunit	-0.396	2.508
219509_at	MYOZ1	myozenin 1	0.491	2.574
219519_s_at	SIGLEC1	sialic acid binding Ig like lectin 1	0.433	2.427
219523_s_at	TENM3	teneurin transmembrane protein 3	0.973	4.453
219525_at	SLC47A1	solute carrier family 47 member 1	0.521	2.762
219534_x_at	CDKN1C	cyclin dependent kinase inhibitor 1C	1.168	5.946
219540_at	ZNF267	zinc finger protein 267	-0.489	2.699
219543_at	PBLD	phenazine biosynthesis like protein domain containing	0.387	2.885
219549_s_at	RTN3	reticulon 3	0.758	5.228
219561_at	COPZ2	coatomer protein complex subunit zeta 2	0.55	2.551
219563_at	SYNE3///LINC00341	spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341	0.986	7.64
219569_s_at	SLC35G2	solute carrier family 35 member G2	0.603	5.002
219576_at	MAP7D3	MAP7 domain containing 3	0.965	5.441
219638_at	FBXO22	F-box protein 22	0.493	3.257
219667_s_at	BANK1	B-cell scaffold protein with ankyrin repeats 1	0.722	3.111
219676_at	ZSCAN16	zinc finger and SCAN domain containing 16	-0.653	3.646
219678_x_at	DCLRE1C	DNA cross-link repair 1C	-0.329	2.635
219681_s_at	RAB11FIP1	RAB11 family interacting protein 1	-1.022	3.771
219689_at	SEMA3G	semaphorin 3G	0.686	7.664
219716_at	APOL6	apolipoprotein L6	0.582	3.201
219717_at	DCAF16	DDB1 and CUL4 associated factor 16	0.338	2.63
219727_at	DUOX2	dual oxidase 2	0.473	2.928
219731_at	ENTPD1-AS1	ENTPD1 antisense RNA 1	0.373	2.433
219737_s_at	PCDH9	protocadherin 9	1.767	13.422
219738_s_at	PCDH9	protocadherin 9	1.898	13.4
219760_at	LIN7B	lin-7 homolog B, crumbs cell polarity complex component	0.868	2.846
219778_at	ZFPM2	zinc finger protein, FOG family member 2	0.876	5.144
219789_at	NPR3	natriuretic peptide receptor 3	0.444	3.261
219806_s_at	SMCO4	single-pass membrane protein with coiled-coil domains 4	-0.582	2.627
219815_at	GAL3ST4	galactose-3-O-sulfotransferase 4	-0.601	2.647
219826_at	ZNF419	zinc finger protein 419	0.418	2.508
219840_s_at	TCL6	T-cell leukemia/lymphoma 6 (non-protein coding)	0.657	3.176
219878_s_at	KLF13	Kruppel like factor 13	0.508	2.501
219884_at	LHX6	LIM homeobox 6	0.922	4.932
219902_at	BHMT2	betaine--homocysteine S-methyltransferase 2	0.569	2.845
219913_s_at	CRNKL1	crooked neck pre-mRNA splicing factor 1	-1.082	5.065
219918_s_at	ASPM	abnormal spindle microtubule assembly	-0.679	2.834
219935_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	0.928	7.609
219937_at	TRHDE	thyrotropin releasing hormone degrading enzyme	0.989	6.417
219939_s_at	CSDE1	cold shock domain containing E1	0.438	3.032
219972_s_at	PCNX4	pecanex homolog 4 (Drosophila)	-0.809	2.604
219974_x_at	ECHDC1	ethylmalonyl-CoA decarboxylase 1	0.614	2.41
219976_at	HOOK1	hook microtubule tethering protein 1	-0.946	4.797
219999_at	MAN2A2	mannosidase alpha class 2A member 2	0.611	2.594
220056_at	IL22RA1	interleukin 22 receptor subunit alpha 1	0.433	3.197
220061_at	ACSM5	acyl-CoA synthetase medium-chain family member 5	1.622	10.885
220065_at	TNMD	tenomodulin	1.001	6.209
220147_s_at	FAM60A	family with sequence similarity 60 member A	-0.548	3.327
220157_x_at	PLEKHA8P1	pleckstrin homology domain containing A8 pseudogene 1	0.657	3.913
220161_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	0.459	3.191
220175_s_at	CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1	COBW domain containing 7///COBW domain containing 6///COBW domain containing 3///COBW domain containing 5///COBW domain containing 2///COBW domain containing 1	-0.542	2.473
220176_at	NUBPL	nucleotide binding protein like	0.556	2.529
220200_s_at	KMT5A	lysine methyltransferase 5A	1.024	4.043
220206_at	ZMYM1	zinc finger MYM-type containing 1	-0.558	2.583
220228_at	AP4E1	adaptor related protein complex 4 epsilon 1 subunit	0.458	2.695
220244_at	LINC00312	long intergenic non-protein coding RNA 312	0.392	3.128
220272_at	BNC2	basonuclin 2	0.413	2.483
220296_at			-0.525	2.822
220326_s_at	ARHGEF40	Rho guanine nucleotide exchange factor 40	0.652	3.854
220327_at	VGLL3	vestigial like family member 3	1.114	6.726
220373_at	DCHS2	dachsous cadherin-related 2	0.566	2.54
220392_at	EBF2	early B-cell factor 2	0.582	4.538
220431_at	TMPRSS11E	transmembrane protease, serine 11E	0.679	3.114
220538_at	ADM2	adrenomedullin 2	0.416	2.416
220546_at	LOC101929115///KMT2A	uncharacterized LOC101929115///lysine methyltransferase 2A	0.551	3.063
220618_s_at	ZCWPW1	zinc finger CW-type and PWWP domain containing 1	0.434	2.619
220624_s_at	ELF5	E74 like ETS transcription factor 5	0.353	2.609
220655_at	TNIP3	TNFAIP3 interacting protein 3	0.891	3.581
220657_at	KLHL11	kelch like family member 11	0.407	2.602
220706_at	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	0.523	3.321
220720_x_at	MZT2B	mitotic spindle organizing protein 2B	-0.966	4.19
220736_at	SLC19A3	solute carrier family 19 member 3	0.74	5.575
220751_s_at	FAXDC2	fatty acid hydroxylase domain containing 2	0.415	3.298
220763_at	HSPA12A	heat shock protein family A (Hsp70) member 12A	0.339	2.469
220832_at	TLR8	toll like receptor 8	0.436	2.451
220868_s_at	SLC7A10	solute carrier family 7 member 10	0.677	3.968
220871_at			0.46	2.561
220902_at			0.456	2.493
220917_s_at	WDR19	WD repeat domain 19	0.59	2.557
220926_s_at	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3	-0.838	4.976
220946_s_at	SETD2	SET domain containing 2	0.432	3.284
220948_s_at	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	-0.887	5.675
220975_s_at	C1QTNF1	C1q and tumor necrosis factor related protein 1	0.553	5.105
221009_s_at	ANGPTL4	angiopoietin like 4	2.141	15.717
221012_s_at	TRIM8	tripartite motif containing 8	0.442	3.057
221014_s_at	RAB33B	RAB33B, member RAS oncogene family	0.452	2.623
221016_s_at	TCF7L1	transcription factor 7 like 1	0.421	2.929
221024_s_at	SLC2A10	solute carrier family 2 member 10	-1.495	6.599
221031_s_at	APOLD1	apolipoprotein L domain containing 1	0.99	6.267
221038_at			0.586	2.441
221042_s_at	CLMN	calmin	0.801	4.317
221060_s_at	TLR4	toll like receptor 4	0.502	3.405
221069_s_at	TACO1	translational activator of cytochrome c oxidase I	0.608	2.829
221087_s_at	APOL3	apolipoprotein L3	0.834	3.63
221104_s_at	NIPSNAP3B	nipsnap homolog 3B	0.438	3.241
221131_at	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	0.917	7.214
221191_at	STAG3L3	stromal antigen 3-like 3 (pseudogene)	-0.574	3.064
221231_s_at	NRDE2	NRDE-2, necessary for RNA interference, domain containing	0.481	2.817
221245_s_at	FZD5	frizzled class receptor 5	0.395	2.512
221246_x_at	TNS1	tensin 1	1.092	7.908
221295_at	CIDEA	cell death-inducing DFFA-like effector a	1.169	7.85
221310_at	FGF14	fibroblast growth factor 14	0.345	2.617
221365_at	MLNR	motilin receptor	0.457	2.989
221479_s_at	BNIP3L	BCL2 interacting protein 3 like	0.66	5.21
221505_at	ANP32E	acidic nuclear phosphoprotein 32 family member E	-0.661	3.566
221521_s_at	GINS2	GINS complex subunit 2	-1.134	4.831
221523_s_at	RRAGD	Ras related GTP binding D	0.453	3.044
221524_s_at	RRAGD	Ras related GTP binding D	0.623	3.717
221536_s_at	LSG1	large 60S subunit nuclear export GTPase 1	-0.673	3.348
221553_at	MAGT1	magnesium transporter 1	-0.725	2.607
221565_s_at	CALHM2	calcium homeostasis modulator 2	0.42	2.609
221570_s_at	METTL5	methyltransferase like 5	0.369	2.859
221580_s_at	MIR1304///SNORD5///SNORA32///SNORA40///SNORA18///SNORA1///SNORA8///TAF1D	microRNA 1304///small nucleolar RNA, C/D box 5///small nucleolar RNA, H/ACA box 32///small nucleolar RNA, H/ACA box 40///small nucleolar RNA, H/ACA box 18///small nucleolar RNA, H/ACA box 1///small nucleolar RNA, H/ACA box 8///TATA-box binding protein associated factor, RNA polymerase I subunit D	-0.993	3.103
221588_x_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	0.424	2.443
221589_s_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	0.748	5.034
221590_s_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	0.347	3.075
221599_at	AAMDC	adipogenesis associated Mth938 domain containing	0.838	3.892
221610_s_at	STAP2	signal transducing adaptor family member 2	-0.567	3.606
221624_at	TCL6	T-cell leukemia/lymphoma 6 (non-protein coding)	0.531	2.468
221631_at	CACNA1I	calcium voltage-gated channel subunit alpha1 I	0.743	3.974
221634_at	RPL23AP7///CENPBD1P1	ribosomal protein L23a pseudogene 7///CENPB DNA-binding domains containing 1 pseudogene 1	0.608	2.62
221651_x_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	-0.979	4.991
221652_s_at	ASUN	asunder, spermatogenesis regulator	-0.758	3.491
221671_x_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	-1.005	5.167
221691_x_at	NPM1	nucleophosmin	-0.789	3.511
221706_s_at	USE1	unconventional SNARE in the ER 1	0.597	2.809
221747_at	TNS1	tensin 1	1.334	10.225
221748_s_at	TNS1	tensin 1	1.212	10.491
221760_at	MAN1A1	mannosidase alpha class 1A member 1	0.686	3.095
221765_at	UGCG	UDP-glucose ceramide glucosyltransferase	-1.077	3.379
221794_at	DOCK6	dedicator of cytokinesis 6	0.554	3.464
221795_at	NTRK2	neurotrophic receptor tyrosine kinase 2	1.028	4.99
221796_at	NTRK2	neurotrophic receptor tyrosine kinase 2	0.807	4.165
221806_s_at	SETD5	SET domain containing 5	-0.618	2.841
221835_at	DTX3	deltex E3 ubiquitin ligase 3	0.494	3.073
221841_s_at	KLF4	Kruppel like factor 4	1.523	6.125
221872_at	RARRES1	retinoic acid receptor responder 1	-1.15	3.781
221874_at	KIAA1324	KIAA1324	-0.423	2.609
221885_at	DENND2A	DENN domain containing 2A	0.825	5.81
221919_at	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	-0.564	2.729
221922_at	GPSM2	G-protein signaling modulator 2	-0.834	4.591
221923_s_at	NPM1	nucleophosmin	-0.632	4.564
221928_at	ACACB	acetyl-CoA carboxylase beta	1.905	13.048
221950_at	EMX2	empty spiracles homeobox 2	0.506	3.015
221973_at	LOC100506123///LOC100506076	uncharacterized LOC100506123///uncharacterized LOC100506076	-0.808	4.17
221984_s_at	FAM134A	family with sequence similarity 134 member A	-0.475	3.351
222018_at	NACA	nascent polypeptide-associated complex alpha subunit	-0.747	3.813
222033_s_at	FLT1	fms related tyrosine kinase 1	0.447	3.42
222036_s_at	MCM4	minichromosome maintenance complex component 4	-1.065	4.262
222043_at	CLU	clusterin	1.118	6.624
222112_at	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1	-0.754	3.285
222116_s_at	TBC1D16	TBC1 domain family member 16	0.997	5.518
222122_s_at	THOC2	THO complex 2	-0.728	3.709
222139_at	ERV3-2	endogenous retrovirus group 3 member 2	0.441	2.505
222140_s_at	GPR89A///GPR89B	G protein-coupled receptor 89A///G protein-coupled receptor 89B	-0.606	3.173
222146_s_at	TCF4	transcription factor 4	0.512	3.049
222161_at	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	1.436	7.476
222162_s_at	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	1.337	4.844
222166_at	C9orf16	chromosome 9 open reading frame 16	0.424	2.41
222182_s_at	CNOT2	CCR4-NOT transcription complex subunit 2	-0.681	2.618
222209_s_at	TMEM135	transmembrane protein 135	1.004	3.199
222226_at	SAA3P	serum amyloid A3 pseudogene	0.635	2.418
222247_at			0.779	3.344
222258_s_at	SH3BP4	SH3 domain binding protein 4	-0.7	2.868
222266_at			-0.877	4.268
222317_at	PDE3B	phosphodiesterase 3B	3.773	16.871
222327_x_at	OR7E156P	olfactory receptor family 7 subfamily E member 156 pseudogene	0.434	3.247
222329_x_at			0.911	2.998
222330_at			0.751	3.549
222351_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	1.603	10.155
243_g_at	MAP4	microtubule associated protein 4	0.638	4.83
266_s_at	CD24	CD24 molecule	-3.963	17.328
31874_at	GAS2L1	growth arrest specific 2 like 1	0.569	3.644
32259_at	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	0.429	2.451
32625_at	NPR1	natriuretic peptide receptor 1	0.338	3.654
32837_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	0.794	8.649
33322_i_at	SFN	stratifin	-0.851	9.372
33494_at	ETFDH	electron transfer flavoprotein dehydrogenase	0.804	3.908
34260_at	TELO2	telomere maintenance 2	0.387	2.46
35776_at	ITSN1	intersectin 1	0.898	8.456
36499_at	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	-0.468	2.5
36711_at	MAFF	MAF bZIP transcription factor F	0.738	4.558
37022_at	PRELP	proline and arginine rich end leucine rich repeat protein	0.404	2.864
37117_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	-1.32	9.295
37384_at	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	0.693	4.83
37549_g_at	BBS9	Bardet-Biedl syndrome 9	0.526	2.883
37892_at	COL11A1	collagen type XI alpha 1 chain	-1.986	6.725
37966_at	PARVB	parvin beta	0.568	3.087
38487_at	STAB1	stabilin 1	0.409	2.466
39248_at	AQP3	aquaporin 3 (Gill blood group)	-1.244	6.473
40189_at	SETSIP///SET	SET-like protein///SET nuclear proto-oncogene	-0.489	2.843
40465_at	DDX23	DEAD-box helicase 23	-0.626	2.764
40524_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	0.626	2.671
40687_at	GJA4	gap junction protein alpha 4	0.783	2.969
41577_at	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	0.753	4.912
41644_at	SASH1	SAM and SH3 domain containing 1	0.783	4.931
41660_at	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	-0.81	2.741
43427_at	ACACB	acetyl-CoA carboxylase beta	3.018	15.006
44822_s_at	MIER2	MIER family member 2	0.585	2.516
45288_at	ABHD6	abhydrolase domain containing 6	0.841	5.002
45297_at	EHD2	EH domain containing 2	0.947	6.786
46323_at	CANT1	calcium activated nucleotidase 1	-0.615	3.192
47069_at	PRR5	proline rich 5	0.586	2.687
48031_r_at	FAXDC2	fatty acid hydroxylase domain containing 2	0.679	4.416
49452_at	ACACB	acetyl-CoA carboxylase beta	2.134	13.619
51226_at	RBM12B	RNA binding motif protein 12B	0.463	2.567
53991_at	DENND2A	DENN domain containing 2A	0.739	5.252
55872_at	ZNF512B	zinc finger protein 512B	-0.636	3.327
57588_at	SLC24A3	solute carrier family 24 member 3	0.648	3.984
57715_at	CALHM2	calcium homeostasis modulator 2	0.595	2.406
58780_s_at	ARHGEF40	Rho guanine nucleotide exchange factor 40	1.848	10.809
59375_at	MYO15B	myosin XVB	0.443	2.931
59644_at	BMP2K	BMP2 inducible kinase	-0.712	3.194
65718_at	ADGRA2	adhesion G protein-coupled receptor A2	0.926	8.064
AFFX-r2-Bs-phe-3_at			0.775	2.627
AFFX-r2-Bs-thr-M_s_at			0.631	3.317
